id,age,income,education_years,group,prior_prob,likelihood_ratio,posterior_prob,binary_outcome,continuous_target,ci_width_95
1,63,67338.17,13,A,0.2732,0.5936,0.1824,1,8.9805,2.0202
2,53,36687.35,16,A,0.0085,1.9411,0.0164,1,9.0497,2.0916
3,39,58132.95,12,A,0.2967,1.2515,0.3455,1,8.7565,1.887
4,32,25604.95,15,C,0.3196,0.9614,0.3111,1,7.7371,0.7275
5,45,35077.21,11,A,0.1731,0.3301,0.0646,1,11.9227,2.316
6,63,57952.92,19,B,0.1488,2.0033,0.2594,1,9.8243,1.8686
7,43,66077.0,18,C,0.125,2.5478,0.2668,1,10.1199,1.6273
8,47,57570.52,14,B,0.6735,2.3257,0.8275,1,9.4813,2.7762
9,35,53265.28,15,C,0.1132,0.7352,0.0858,1,12.5928,1.2449
10,35,50483.44,13,A,0.2132,1.2109,0.2471,1,6.8956,1.809
11,48,32822.17,19,C,0.2306,1.279,0.2771,1,12.0547,2.2441
12,60,44202.34,16,B,0.5439,0.4659,0.3572,1,12.7539,2.4912
13,64,48090.42,18,B,0.4297,1.0944,0.4519,1,11.4182,1.6484
14,48,70856.83,16,A,0.2624,1.7083,0.378,1,8.8411,2.6052
15,27,60154.27,10,A,0.2049,1.4656,0.2741,0,8.1012,2.4223
16,46,28554.4,10,A,0.2993,0.5737,0.1968,1,11.4111,0.6656
17,26,59861.26,18,B,0.3021,0.6497,0.2195,1,9.7121,0.6147
18,48,49223.77,18,C,0.5717,1.4848,0.6646,1,13.5468,2.052
19,54,44846.17,13,B,0.2272,1.3722,0.2875,1,10.5003,1.3685
20,62,64175.14,18,A,0.6308,0.324,0.3563,1,13.5254,1.0228
21,26,70464.99,12,C,0.45,0.2928,0.1933,1,9.0674,1.9491
22,45,68969.2,16,A,0.0592,0.9625,0.0571,1,9.7964,1.3539
23,57,42411.74,15,A,0.2168,0.7447,0.1709,1,13.2827,1.8432
24,36,50361.81,17,A,0.1703,0.8614,0.1502,1,11.06,1.6503
25,46,59968.95,18,B,0.1914,0.8141,0.1616,0,11.4845,1.9619
26,49,69633.18,14,A,0.065,1.6356,0.1021,1,11.2483,1.5008
27,51,47812.39,10,B,0.4507,1.0531,0.4635,1,10.4816,2.2442
28,52,52215.12,12,C,0.0424,1.1432,0.0482,1,10.9046,0.9502
29,40,38404.98,19,A,0.1483,0.5111,0.0817,1,9.5248,2.2413
30,39,37056.9,17,B,0.1924,0.186,0.0424,1,9.9773,1.5292
31,27,67187.89,15,A,0.0328,1.7538,0.0561,1,8.7144,2.6858
32,61,75343.6,17,A,0.2728,2.9201,0.5228,1,10.0764,1.7881
33,31,53919.85,18,B,0.5649,0.8426,0.5224,1,9.5317,2.9328
34,45,70052.99,13,A,0.4643,1.1328,0.4954,1,8.6066,2.0048
35,33,60424.54,10,B,0.1324,1.1762,0.1522,1,8.9446,1.0596
36,63,45323.2,10,B,0.2378,2.3109,0.4189,1,10.2196,2.5545
37,42,60420.93,19,B,0.6075,1.5597,0.7071,0,11.4083,1.3627
38,28,78070.55,13,B,0.0833,1.2815,0.1043,1,8.3912,1.369
39,49,54462.61,16,B,0.2411,1.0282,0.2462,1,12.6881,0.5795
40,38,78469.65,11,B,0.5647,1.0306,0.5721,1,8.5893,1.8718
41,33,15703.82,12,B,0.1848,0.4869,0.0994,0,10.8528,1.8361
42,50,67328.54,10,A,0.1237,0.8255,0.1044,0,8.0339,1.39
43,26,56305.71,14,A,0.1786,1.5575,0.253,1,10.0887,2.7355
44,44,50514.89,10,C,0.6754,0.8897,0.6493,1,10.8739,0.8219
45,52,56376.41,17,B,0.2359,1.0224,0.2399,1,7.2343,1.3252
46,31,25186.47,10,A,0.1136,0.5554,0.0664,1,7.7184,1.304
47,32,51704.92,10,B,0.3876,1.2495,0.4416,1,9.3806,0.7307
48,59,60356.69,11,A,0.188,0.4815,0.1003,1,11.3405,1.7029
49,38,77168.41,11,C,0.046,1.156,0.0528,1,9.0431,2.2195
50,41,47225.95,15,A,0.0691,0.9106,0.0633,1,10.375,1.7791
